Level,Fruit,Pac-Man Speed,Ghost Speed,Fright Ghost Speed,Fright Length,Scatter0,Chase0,Scatter1,Chase1,Scatter2,Chase2,Scatter3
1,Cherries,0.8,0.75,0.5,6,7,20,7,20,5,20,5
2,Strawberry,0.9,0.85,0.55,5,7,20,7,20,5,1033,1/60
3,Peach,0.9,0.85,0.55,4,7,20,7,20,5,1033,1/60
4,Peach,0.9,0.85,0.55,3,7,20,7,20,5,1033,1/60
5,Apple,1.0,0.95,0.6,2,5,20,5,20,5,1037,1/60
6,Apple,1.0,0.95,0.6,5,5,20,5,20,5,1037,1/60
7,Grapes,1.0,0.95,0.6,2,5,20,5,20,5,1037,1/60
8,Grapes,1.0,0.95,0.6,2,5,20,5,20,5,1037,1/60
9,Galaxian,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
10,Galaxian,1.0,0.95,0.6,5,5,20,5,20,5,1037,1/60
11,Bell,1.0,0.95,0.6,2,5,20,5,20,5,1037,1/60
12,Bell,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
13,Key,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
14,Key,1.0,0.95,0.6,3,5,20,5,20,5,1037,1/60
15,Key,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
16,Key,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
17,Key,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
18,Key,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
19,Key,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
20,Key,1.0,0.95,0.6,1,5,20,5,20,5,1037,1/60
21+,Key,0.9,0.95,0.6,1,5,20,5,20,5,1037,1/60
